id;annee_naissance;annee_permis;marque;puis_fiscale;anc_veh;codepostal;energie_veh;kmage_annuel;crm;profession;var1;var2;var3;var4;var5;var6;var7;var8;var9;var10;var11;var12;var13;var14;var15;var16;var17;var18;var19;var20;var21;var22
300001;1992;2011;RENAULT;4;2;97109;essence;2983;88;enseignant, formateur, chercheur;5;3;372;0;1;A;1;B1;60;151;2;890;3;N;0;1;0;20;2;0;1;0
300002;1991;2010;RENAULT;6;36;97109;essence;6496;50;enseignant, formateur, chercheur;6;5;272;0;1;C;1;M1;90;184;36;1055;5;N;0;4;1;20;1;0;1;0
300003;1976;1995;RENAULT;10;3;97109;essence;6971;50;enseignant, formateur, chercheur;21;2;372;1;1;C;7;H1;120;178;3;1215;5;N;7;1;1;21;1;0;1;0
300004;1976;1995;BMW;13;1;97109;essence;7293;68;enseignant, formateur, chercheur;21;5;372;1;1;B;1;M2;192;233;1;1330;4;N;0;1;1;22;1;0;1;0
300005;1984;2004;PEUGEOT;9;0;97109;essence;6982;50;enseignant, formateur, chercheur;12;4;272;2;2;C;1;M1;138;205;0;1219;5;N;2;4;1;16;0;0;1;1
300006;1990;2009;RENAULT;7;33;97109;essence;7000;100;ouvrier;7;5;272;0;1;B;1;M2;95;180;33;1225;5;N;0;4;1;16;0;0;1;1
300007;1980;1999;PEUGEOT;7;33;97109;essence;11451;100;ouvrier;17;4;272;5;1;C;1;M1;120;197;33;1457;5;N;0;4;1;17;0;1;1;1
300008;1965;1984;RENAULT;5;0;97109;essence;2906;54;educateur, animateur, moniteur;32;5;372;0;1;C;1;B1;75;168;0;845;3;N;0;3;1;18;0;1;1;1
300009;1971;1990;MITSUBISHI;6;2;97109;essence;6633;125;educateur, animateur, moniteur;26;4;372;2;2;B;1;M2;100;185;2;1100;4;N;0;1;1;20;0;0;1;1
300010;1980;1999;FORD;8;3;97109;essence;6657;112;educateur, animateur, moniteur;17;3;372;0;1;C;5;M1;125;198;3;1108;2;N;0;1;4;19;0;1;1;1
300011;1972;1991;PEUGEOT;11;0;97109;essence;11451;50;educateur, animateur, moniteur;25;4;372;0;2;C;6;M1;180;207;0;1457;3;N;1;3;4;20;0;1;1;1
300012;1989;2009;TOYOTA;4;26;97109;essence;2880;118;educateur, animateur, moniteur;7;1;372;0;2;B;1;B2;68;155;26;830;3;N;0;3;1;20;0;0;1;1
300013;1984;2003;OPEL;6;13;97109;essence;6587;50;educateur, animateur, moniteur;13;2;372;0;1;B;1;M1;90;180;13;1085;5;N;2;3;1;19;1;1;1;0
300014;1983;2002;FIAT;4;0;97109;essence;2915;50;agent, employe;14;2;272;2;1;A;1;B2;55;150;0;850;3;N;2;1;1;20;1;0;1;0
300015;1988;2007;RENAULT;4;0;97109;essence;3000;95;agent, employe;9;2;372;0;2;B;1;B2;60;160;0;900;3;N;2;3;1;21;1;0;1;0
300016;1990;2009;PEUGEOT;5;19;97109;essence;3008;50;agent, employe;7;2;372;5;2;A;2;B2;75;168;19;905;2;N;1;1;1;22;1;0;1;0
300017;1980;2000;PEUGEOT;6;20;97109;essence;6374;68;agent, employe;16;5;272;0;2;C;1;B2;75;171;20;1016;3;N;0;1;1;19;1;0;1;0
300018;1988;2007;CITROEN;5;40;97109;essence;6283;106;agent, employe;9;1;272;1;2;B;1;B2;74;169;40;987;3;N;0;4;1;19;2;0;1;0
300019;1991;2010;PEUGEOT;6;0;97109;essence;6779;50;agent, employe;6;4;272;2;2;A;1;B2;88;180;0;1149;5;N;0;1;1;19;2;0;1;0
300020;1982;2002;OPEL;7;0;97109;essence;3049;100;agent, employe;14;2;372;9;1;B;1;B2;90;180;0;930;5;N;2;4;1;20;2;0;1;0
300021;1985;2004;CITROEN;7;19;97109;essence;7056;50;agent, employe;12;3;372;1;2;A;10;M1;115;190;19;1245;5;N;2;1;1;21;2;0;1;0
300022;1983;2003;HONDA;7;34;97109;essence;6324;100;agent, employe;13;2;272;0;1;A;1;M1;115;188;34;1000;3;N;0;4;2;20;1;1;0;0
300023;1985;2004;OPEL;7;40;97109;essence;6957;112;agent, employe;12;1;272;0;2;C;5;M1;115;193;40;1210;3;N;2;4;2;21;1;1;1;0
300024;1986;2005;VOLKSWAGEN;4;0;97109;essence;6349;64;agent, employe;11;2;372;0;1;A;1;B2;65;162;0;1008;5;N;1;4;2;22;1;1;1;0
300025;1981;2000;ALFA ROMEO;8;0;97109;essence;6928;50;artisan;16;1;372;0;1;B;1;M1;120;195;0;1200;3;N;1;0;2;20;1;1;1;0
300026;1992;2011;PEUGEOT;5;40;97109;essence;2854;68;profession liberale;5;5;272;0;1;D;1;B1;75;180;40;815;3;N;0;4;1;21;1;1;1;0
300027;1990;2009;CITROEN;7;0;97109;essence;7389;50;artisan;7;3;372;2;2;A;1;M2;115;196;0;1365;5;N;2;0;1;22;1;1;1;0
300028;1990;2009;VOLKSWAGEN;4;0;97109;essence;6349;68;agent, employe;7;2;372;0;1;A;1;B2;65;162;0;1008;5;N;1;4;4;21;0;1;1;2
300029;1985;2004;HYUNDAI;10;0;97109;essence;7014;50;agent, employe;12;3;272;1;2;C;5;M1;138;201;0;1230;2;N;3;1;1;20;0;1;1;1
300030;1972;1991;TOYOTA;7;21;97109;essence;7099;55;agent, employe;25;1;272;0;2;C;1;M1;124;190;21;1260;5;N;0;2;1;21;0;1;1;1
300031;1987;2006;VOLKSWAGEN;7;0;97109;essence;6861;72;agent, employe;10;2;372;2;1;B;1;M1;105;192;0;1177;4;N;1;4;4;21;0;1;1;1
300032;1991;2011;PEUGEOT;5;33;97109;essence;6808;95;agent, employe;5;5;272;3;1;B;1;M1;75;167;33;1159;5;N;2;4;4;22;0;1;1;1
300033;1973;1992;NISSAN;6;40;97109;essence;6899;74;profession liberale;24;2;272;2;2;A;1;M1;90;173;40;1190;3;N;0;4;1;22;0;1;1;1
300034;1988;2009;VOLKSWAGEN;7;0;97109;essence;6861;68;agent, employe;7;2;372;2;1;B;1;M1;105;192;0;1177;4;N;1;4;1;20;0;1;1;2
300035;1987;2006;VOLKSWAGEN;6;41;97109;essence;6820;85;agent, employe;10;2;272;1;1;A;1;M1;75;171;41;1163;3;N;0;4;4;22;0;0;1;2
300036;1986;2006;CITROEN;7;41;97109;essence;6244;75;agent, employe;10;2;272;0;1;B;1;M1;75;174;41;975;5;N;0;4;4;22;0;0;1;4
300037;1978;1998;PEUGEOT;9;19;97109;essence;2966;50;agent, employe;18;5;372;0;2;C;1;B2;130;206;19;880;3;N;1;1;1;22;0;1;1;2
300038;1987;2007;PEUGEOT;6;19;97109;essence;6708;50;agent, employe;9;5;372;4;1;A;8;M1;76;150;19;1125;3;N;3;1;1;20;0;0;1;0
300039;1969;1988;PEUGEOT;7;19;97109;essence;11451;56;cadre, ingenieur;28;1;372;0;2;C;1;M1;120;197;19;1457;3;N;0;1;1;21;0;0;1;0
300040;1984;2004;RENAULT;9;19;97109;essence;11482;50;cadre, ingenieur;12;3;372;2;2;B;10;M1;140;180;19;1465;5;N;0;1;1;22;0;0;1;0
300041;1985;2004;SANTANA;9;2;97109;essence;6292;62;cadre, ingenieur;12;2;372;2;1;A;11;T2;76;135;2;990;2;N;1;1;4;22;0;0;1;0
300042;1991;2010;FIAT;4;0;97109;essence;6292;90;cadre, ingenieur;6;3;372;1;1;C;1;B2;60;152;0;990;5;N;3;1;4;22;0;0;1;0
300043;1979;1999;CITROEN;5;0;97109;gazole;7090;50;technicien;17;4;272;0;1;B;5;M1;92;180;0;1257;3;N;0;1;1;21;0;0;0;1
300044;1993;2012;PEUGEOT;5;26;97109;gazole;6919;118;educateur, animateur, moniteur;4;4;372;1;2;B;1;B2;90;182;26;1197;5;N;1;3;1;22;0;0;0;1
300045;1984;2004;MITSUBISHI;9;13;97109;gazole;12332;55;educateur, animateur, moniteur;12;4;372;2;1;D;11;T2;140;187;13;1690;5;N;2;3;3;22;0;0;0;0
300046;1989;2009;VOLKSWAGEN;6;0;97109;gazole;7334;50;educateur, animateur, moniteur;7;1;372;2;2;D;1;M1;105;189;0;1345;4;N;2;1;3;22;0;0;0;0
300047;1992;2011;RENAULT;6;13;97109;gazole;7183;58;educateur, animateur, moniteur;5;4;372;0;1;B;10;M1;105;180;13;1290;5;N;3;3;1;22;0;0;0;0
300048;1973;1992;TOYOTA;10;16;97109;gazole;12186;50;technicien;24;4;372;2;1;A;12;P3;91;135;16;1650;4;N;2;1;1;22;0;0;0;0
300049;1989;2008;MERCEDES;9;0;97109;gazole;6928;50;technicien;8;2;272;2;1;B;1;M2;90;174;0;1200;4;N;0;1;4;22;0;0;0;0
300050;1981;2001;NISSAN;10;27;97110;gazole;12314;66;technicien;15;4;372;0;1;A;20;PU;85;135;27;1685;5;N;4;3;4;20;0;1;1;3
300051;1988;2007;TOYOTA;8;20;97110;gazole;7549;50;technicien;9;1;272;1;1;A;11;T2;116;170;20;1425;3;N;0;1;4;21;0;1;1;3
300052;1986;2005;NISSAN;10;27;97110;gazole;12314;70;technicien;11;4;372;1;1;A;12;PU;85;135;27;1685;5;N;4;3;1;22;1;1;1;0
300053;1977;1997;PEUGEOT;5;18;97110;gazole;7014;90;educateur, animateur, moniteur;19;2;372;0;2;A;1;M1;90;179;18;1230;5;N;0;3;1;22;1;1;1;0
300054;1982;2002;RENAULT;6;34;97110;essence;6371;95;agent, employe;14;2;272;1;2;A;1;M1;71;168;34;1015;5;N;0;4;4;20;0;0;1;3
300055;1970;1990;RENAULT;6;34;97110;essence;6371;90;agent, employe;26;2;272;1;2;A;1;M1;71;168;34;1015;5;N;0;4;4;21;0;0;1;3
300056;1992;2013;SEAT;6;40;97110;essence;3033;105;profession liberale;3;5;272;3;2;A;1;B2;60;157;40;920;5;N;3;4;4;22;0;0;1;2
300057;1982;2001;VOLKSWAGEN;7;0;97110;essence;6797;50;profession liberale;15;3;272;2;1;A;2;M1;75;168;0;1155;2;N;1;4;1;20;0;0;1;6
300058;1987;2007;PEUGEOT;4;40;97110;essence;2810;105;profession liberale;9;3;272;0;2;A;1;B1;68;157;40;790;3;N;3;4;1;21;0;0;1;6
300059;1986;2005;PEUGEOT;4;40;97110;essence;2810;99;profession liberale;11;3;272;2;2;A;1;B1;68;157;40;790;3;N;3;4;1;22;0;0;1;6
300060;1980;1999;RENAULT;8;0;97110;essence;7266;50;technicien;17;2;272;0;1;D;1;M2;140;210;0;1320;5;N;0;1;1;20;1;0;0;0
300061;1977;1996;SUZUKI;6;24;97110;essence;6678;100;educateur, animateur, moniteur;20;5;372;2;2;A;11;T1;80;150;24;1115;3;N;1;2;1;20;1;0;1;0
300062;1991;2010;SMART;4;0;97110;essence;2701;50;educateur, animateur, moniteur;6;2;272;0;1;B;1;B1;61;135;0;730;3;N;1;1;1;20;1;0;1;0
300063;1982;2001;SKODA;6;20;97110;essence;3049;50;technicien;15;2;272;1;1;C;1;M1;68;150;20;930;5;N;0;1;1;21;1;0;1;0
300064;1994;2013;RENAULT;4;0;97110;essence;2397;76;ouvrier;3;2;272;1;1;A;1;B1;25;0;0;575;4;N;1;4;1;22;1;0;1;0
300065;1969;1988;VOLKSWAGEN;5;2;97110;essence;6418;54;enseignant, formateur, chercheur;28;4;372;0;1;A;3;B2;60;155;2;1030;5;N;2;1;1;22;1;0;1;0
300066;1984;2003;MAZDA;10;99;97110;gazole;12513;54;demandeur d'emploi;13;5;272;2;2;A;12;PU;110;145;99;1740;5;N;2;5;1;22;1;0;1;0
300067;1982;2002;TOYOTA;10;0;97110;gazole;12868;74;ouvrier;14;5;272;2;1;B;12;P3;171;155;0;1840;5;N;1;4;1;22;1;1;1;0
300068;1988;2007;TOYOTA;10;0;97110;gazole;12369;50;agent, employe;9;2;272;6;1;A;12;P3;88;150;0;1700;2;N;2;1;1;22;1;1;1;0
300069;1988;2007;OPEL;7;34;97110;gazole;7183;85;agent, employe;9;2;272;0;2;C;5;M1;125;197;34;1290;3;N;0;4;1;19;1;1;1;0
300070;1979;1998;TOYOTA;8;15;97110;gazole;11943;64;agent, employe;18;2;272;0;1;A;11;T2;136;180;15;1585;5;N;1;1;1;21;0;0;1;0
300071;1984;2003;OPEL;7;17;97111;gazole;7389;50;agent, employe;13;2;272;0;1;A;4;M1;100;180;17;1365;5;N;0;1;1;21;0;0;1;0
300072;1983;2002;OPEL;6;22;97111;gazole;11765;90;agent, employe;14;4;372;0;2;B;10;M2;100;174;22;1538;5;N;4;2;1;22;0;0;1;0
300073;1994;2014;FORD;4;28;97111;gazole;6260;68;agent, employe;2;1;372;2;2;A;1;B1;75;162;28;980;3;N;0;3;2;20;0;1;1;1
300074;1987;2007;PEUGEOT;4;23;97111;gazole;6858;95;agent, employe;9;4;272;0;1;A;1;B2;68;166;23;1176;3;N;0;2;2;20;0;1;1;1
300075;1987;2007;PEUGEOT;4;0;97111;gazole;6280;58;agent, employe;9;4;372;0;2;B;1;B2;69;168;0;986;5;N;0;1;2;21;0;1;1;1
300076;1965;1985;MERCEDES;9;0;97111;gazole;7563;60;agent, employe;31;4;372;2;2;B;5;M2;150;215;0;1430;3;N;2;1;2;22;0;1;1;1
300077;1984;2003;MERCEDES;9;0;97111;gazole;7563;57;agent, employe;13;4;372;2;2;B;5;M2;150;215;0;1430;3;N;2;1;2;11;1;1;1;0
300078;1975;1995;PEUGEOT;6;9;97111;gazole;7453;80;agent, employe;21;4;372;0;1;B;3;M2;90;174;9;1389;5;N;2;4;2;12;1;1;1;0
300079;1989;2008;MITSUBISHI;9;18;97111;gazole;12332;58;agent, employe;8;1;372;0;2;C;11;T3;99;145;18;1690;3;N;2;3;2;12;1;1;1;0
300080;1979;1998;MITSUBISHI;9;18;97111;gazole;12332;62;agent, employe;18;1;372;0;2;C;11;T3;99;145;18;1690;3;N;2;3;2;21;0;1;1;1
300081;1980;2001;FORD;11;18;97111;gazole;12531;50;agent, employe;15;2;372;0;1;A;11;T3;125;155;18;1745;3;N;3;3;2;22;0;1;1;1
300082;1981;2000;TOYOTA;10;0;97111;gazole;11886;50;agent, employe;16;5;372;0;1;A;12;P3;83;140;0;1570;2;N;0;1;1;20;0;1;1;1
300083;1977;1996;MAZDA;10;19;97111;gazole;12513;75;agent, employe;20;2;372;0;1;A;12;PU;110;145;19;1740;5;N;2;1;1;21;0;1;1;1
300084;1980;2000;MAZDA;10;19;97111;gazole;12513;88;agent, employe;16;2;372;0;1;A;20;PU;110;145;19;1740;5;N;2;1;1;22;0;1;1;1
300085;1966;1985;CITROEN;5;37;97111;gazole;6773;50;agent, employe;31;5;272;4;2;A;3;M1;68;162;37;1147;5;N;3;4;1;22;0;1;1;2
300086;1980;1999;RENAULT;6;15;97111;gazole;7000;50;agent, employe;17;1;272;2;1;B;1;M1;105;185;15;1225;5;N;0;1;1;17;0;0;1;1
300087;1984;2003;VOLKSWAGEN;5;0;97111;gazole;7099;50;agent, employe;13;5;272;3;1;A;1;M1;110;193;0;1260;5;N;1;1;1;17;0;0;1;1
300088;1985;2004;VOLKSWAGEN;8;0;97111;gazole;7255;50;agent, employe;12;3;272;2;1;B;1;M1;140;203;0;1316;5;N;0;4;1;18;0;0;1;1
300089;1989;2008;RENAULT;6;0;97111;gazole;6797;50;agent, employe;8;2;272;2;1;C;1;M2;88;177;0;1155;4;N;2;1;1;19;0;0;1;1
300090;1991;2010;OPEL;7;17;97111;gazole;7389;50;agent, employe;6;5;272;2;1;A;4;M1;100;180;17;1365;5;N;0;1;1;20;0;1;1;2
300091;1991;2010;OPEL;5;22;97111;gazole;6936;95;agent, employe;6;3;372;2;2;A;8;M1;75;155;22;1203;3;N;4;2;1;21;0;1;1;2
300092;1972;1991;MITSUBISHI;10;19;97111;gazole;13230;50;cadre, ingenieur;25;1;372;5;1;B;11;T3;99;145;19;1945;5;N;1;1;1;21;0;1;1;3
300093;1957;1976;PEUGEOT;4;0;97111;gazole;2966;50;cadre, ingenieur;40;1;372;0;2;A;1;B1;58;155;0;880;3;N;2;1;1;22;0;1;1;2
300094;1989;2008;RENAULT;6;0;97111;gazole;6228;50;cadre, ingenieur;8;1;272;5;1;A;4;B2;55;155;0;970;3;N;0;4;1;22;0;1;1;2
300095;1976;1995;MITSUBISHI;10;19;97111;gazole;13230;50;cadre, ingenieur;21;5;372;0;1;B;11;T3;99;145;19;1945;5;N;1;1;2;21;1;0;1;0
300096;1988;2007;SEAT;7;33;97111;gazole;6979;72;artisan;9;2;272;1;1;C;1;B2;130;206;33;1218;5;N;2;4;2;21;1;0;1;0
300097;1972;1991;NISSAN;8;33;97111;gazole;13247;57;artisan;25;4;272;2;1;B;12;P3;174;170;33;1950;2;N;2;4;1;19;0;0;0;0
300098;1992;2012;CITROEN;5;0;97111;gazole;7116;101;ouvrier;4;2;272;3;1;B;8;M1;71;142;0;1266;5;N;1;4;1;20;0;0;0;0